,tns_name,DM,DM_err,ra,ra_err,dec,dec_err,fluence,fluence_err,flux,flux_err,exp_up,exp_up_err,exp_low,exp_low_err,notes,li_err,rm_fdf,rm_fdf_err,rm_qu,rm_qu_err,rm_mw,rm_mw_err,dm_mw,pa_chi_squared,depol_frac,li,Time_res(s),Fitburst_DM,Fitburst_DM_err,Widths(s),Widths_err(s),Min_width(s),Min_width_err(s),Num_comps,Duration(s),Rel_arrival_time(s),Scattering_600 MHz(ms),Scattering_err(ms),Bandwith (MHz)
89,FRB20190605B,348.957,0.027,29.4852,16,65.7143,17,49.4,5.0,3.16,0.32,45.06,0.17,0.0,0.0,Event of the repeating source FRB20180916B. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,349.0933463148,0.0573454335,"[0.0033137569, 0.0019207491, 0.0031399015000000002, 0.0034759735]","[0.0004056896, 8.494520000000001e-05, 0.0001695122, 0.00029691600000000004]",0.0019207491,8.494520000000001e-05,4.0,0.045219840000000004,"[0.0, 0.0098006638, 0.0125136077, 0.0206078894]",<1.921,0.0,>123.1
90,FRB20190605C,187.7126,0.0046,170.112,12,-5.1578,15,411.0,42.0,490.0,49.0,16.8,0.0,0.0,0.0,-9999,0.007,-64.7,0.09,-0.1,0.038,-2,7,43,4.28,-9999.0,0.32,2.56e-06,187.7101214377,0.004636704,[6.15197e-05],[1.1129e-06],6.15197e-05,1.1129e-06,1.0,0.00061952,[0.0],0.064,0.002,400.0
91,FRB20190606A,552.5516,0.0082,218.714,62,53.313,58,3.2,0.39,1.05,0.17,29.42,0.54,0.0,0.0,Event of the repeating source FRB20190604A. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,552.584274072,0.0431036484,[0.0012723499],[9.29009e-05],0.0012723499,9.29009e-05,1.0,0.00589824,[0.0],<1.272,0.0,228.6
92,FRB20190606B,277.671,0.026,108.8065,25,86.8053,31,18.8,2.0,3.0,0.33,319.6,2.8,55.2,3.3,-9999,0.042,16.5,0.127,16.7,0.195,-28,10,44,1.04,0.9500000000000001,0.86,0.00032768,277.496104809,0.0274744274,[0.0003316573],[3.73345e-05],0.0003316573,3.73345e-05,1.0,0.01376256,[0.0],4.776,0.39,400.0
93,FRB20190607B,289.331,0.0018,41.936,37,49.624,40,2.24,0.29,1.65,0.21,28.17,0.41,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1,12,49,-9999.0,-9999.0,<0.37,0.00032768,289.2671075856,0.0023304135,[1.84561e-05],[9.767500000000001e-06],1.84561e-05,9.767500000000001e-06,1.0,0.00425984,[0.0],1.571,0.145,400.0
94,FRB20190608A,722.14,0.013,359.226,43,19.175,49,3.9,0.49,5.97,0.65,18.81,0.13,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-32,6,43,-9999.0,-9999.0,<0.21,4.096e-05,722.1284512468,0.0135635346,[0.0001537657],[8.6275e-06],0.0001537657,8.6275e-06,1.0,0.00077824,[0.0],0.105,0.019,400.0
95,FRB20190609A,316.6839,0.0033,21.8256,26,87.7004,23,37.0,3.9,15.8,1.7,446.5,5.0,98.1,4.2,-9999,0.028,42.4,0.129,-44.2,0.193,-16,11,45,1.23,-9999.0,0.86,4.096e-05,316.6809968772,0.0037983156000000002,"[0.0001458072, 0.0010275235]","[4.8358e-06, 0.0001399676]",0.0001458072,4.8358e-06,2.0,0.01036288,"[0.0, 0.007814538900000001]",0.402,0.021,400.0
96,FRB20190609B,292.1743,0.0069,208.3177,24,88.3412,15,30.7,3.1,25.0,2.5,551.6,0.0,348.4,0.0,-9999,0.008,28.1,0.117,29.7,0.12,-26,10,44,4.18,-9999.0,0.30000000000000004,1.024e-05,292.1493266869,0.006890585,"[6.8997e-05, 0.0002493666, 7.04724e-05]","[5.5018e-06, 5.9636e-06, 3.2514000000000003e-06]",6.8997e-05,5.5018e-06,3.0,0.00207872,"[0.0, 0.0010153724, 0.0014956653]",0.115,0.003,400.0
97,FRB20190609C,479.8522,0.0047,73.3278,35,24.098,37,4.12,0.49,2.97,0.36,19.53,0.29,0.0,0.0,-9999,0.064,-5.4,0.28400000000000003,5.1,0.332,-33,13,66,4.14,-9999.0,1.04,8.192e-05,479.854870216,0.0047341967,"[5.2386900000000005e-05, 1.4313400000000001e-05]","[2.239e-06, 1.4233e-06]",1.4313400000000001e-05,1.4233e-06,2.0,0.00229376,"[0.0, 0.0016215980000000001]",0.03,0.003,114.3
98,FRB20190609D,511.559,0.017,118.513,39,51.742,40,23.1,2.7,12.5,1.5,27.82,0.72,0.0,0.0,-9999,0.049,-50.4,0.184,-48.6,0.171,3,6,51,4.36,-9999.0,0.91,8.192e-05,511.5565627961,0.0177417978,[0.00018799500000000002],[2.40729e-05],0.00018799500000000002,2.40729e-05,1.0,0.0036864,[0.0],0.736,0.051,400.0
99,FRB20190611A,190.8,1.5,65.6706,23,73.6545,27,22.9,2.4,1.78,0.21,64.38,0.26,47.47,0.33,Event of the repeating source FRB20180814A. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,189.6848298121,1.5430184582000002,"[0.001311386, 0.0013179711]","[7.94631e-05, 0.0001247258]",0.001311386,7.94631e-05,2.0,0.0262144,"[0.0, 0.0112989526]",5.396,0.307,165.1
100,FRB20190612A,433.14,-9999.0,148.0969,31,70.52,36,-9999.0,-9999.0,-9999.0,-9999.0,42.0,2.6,25.8,1.8,"A significant fraction of the signal is outside the time range of the dump, the DM was calculated by maximising the S/N. ",0.043000000000000003,-16.9,0.2,-18.7,0.466,-19,6,43,1.09,-9999.0,0.78,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0
101,FRB20190612B,187.5236,0.0066,222.1114,16,4.3905,23,13.6,1.5,25.2,2.6,16.2,0.0,0.0,0.0,-9999,0.025,2.1,0.064,-0.9,0.082,5,6,43,1.8599999999999999,-9999.0,0.92,2.56e-06,187.5236020625,0.0065883417,[1.41098e-05],[2.645e-07],1.41098e-05,2.645e-07,1.0,8.192e-05,[0.0],~0.016,0.0,209.5
102,FRB20190613A,714.709,0.028,257.4063,29,18.9287,36,12.5,1.3,2.81,0.31,17.21,0.56,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,49,14,45,-9999.0,-9999.0,<0.29,0.00032768,714.7091521623,0.0283098845,"[0.0005484685, 9.29816e-05]","[4.2126300000000004e-05, 4.5751900000000005e-05]",9.29816e-05,4.5751900000000005e-05,2.0,0.01212416,"[0.0, 0.0038548841000000003]",~2.074,0.0,400.0
103,FRB20190613B,285.0881,0.0045,65.7428,13,42.6817,14,8.81,0.89,17.2,1.7,24.21,0.15,0.0,0.0,-9999,0.009000000000000001,-22.2,0.027,-22.4,0.032,-11,18,56,2.99,-9999.0,0.91,2.56e-06,285.0880970704,0.0045352039000000005,"[1.48146e-05, 2.42566e-05]","[4.2657000000000005e-06, 5.047e-07]",1.48146e-05,4.2657000000000005e-06,2.0,0.00038912,"[0.0, 0.0001159213]",~0.097,0.0,400.0
104,FRB20190614A,1063.9173,0.0063,230.7554,22,88.0029,24,22.1,2.4,13.4,1.4,310.9,4.7,409.0,14.0,-9999,0.023,-1.0,0.248,-1.7000000000000002,0.23600000000000002,-22,9,44,1.37,-9999.0,0.4,4.096e-05,1063.9087267271,0.0066217956,[0.00014753890000000002],[1.37685e-05],0.00014753890000000002,1.37685e-05,1.0,0.00262144,[0.0],0.553,0.042,400.0
105,FRB20190614C,589.11,0.15,356.484,53,35.992,73,4.27,0.48,0.8,0.12,19.2,1.1,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-75,10,45,-9999.0,-9999.0,<0.26,0.00065536,589.1117765297,0.1528620208,[0.0027822713],[0.0001988267],0.0027822713,0.0001988267,1.0,0.007864320000000001,[0.0],<2.782,0.0,190.5
106,FRB20190616A,212.5107,0.0054,234.2437,20,34.4844,22,5.5,0.58,4.08,0.43,21.66,0.26,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,6,2,42,-9999.0,-9999.0,<0.15,2.048e-05,212.5126526331,0.0054860382000000004,"[8.23814e-05, 0.00036676220000000004]","[4.2024e-06, 1.52849e-05]",8.23814e-05,4.2024e-06,2.0,0.0007168,"[0.0, 0.0007402378]",<0.082,0.0,400.0
107,FRB20190617A,195.7492,0.0064,177.7378,11,83.806,11,185.0,19.0,62.0,6.2,150.4,0.0,161.06,0.2,-9999,0.002,-93.1,0.007,94.1,0.001,-15,7,44,48.31,-9999.0,0.87,2.56e-06,195.7492328079,0.0064422346,"[0.0003238078, 7.73697e-05, 0.0001287007, 0.00013806230000000001, 0.0002356582]","[3.6099e-06, 1.7102000000000002e-06, 2.1751e-06, 1.6943e-06, 6.9664e-06]",7.73697e-05,1.7102000000000002e-06,5.0,0.0047615999999999995,"[0.0, 0.0009748738000000001, 0.0016128378, 0.0025233255, 0.0033429261]",~0.378,0.0,400.0
108,FRB20190617B,272.725,0.071,58.0429,17,1.4016,29,124.0,13.0,22.9,2.3,16.8,0.0,0.0,0.0,-9999,0.014,1.7000000000000002,0.188,2.9,0.099,45,14,58,7.33,-9999.0,0.45,8.192e-05,272.7335611066,0.07123375600000001,[0.000645058],[2.6307600000000002e-05],0.000645058,2.6307600000000002e-05,1.0,0.00843776,[0.0],2.114,0.102,399.8
109,FRB20190617C,638.905,0.025,134.289,46,35.742,50,6.7,0.72,0.65,0.096,20.91,0.6,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15,4,47,-9999.0,-9999.0,<0.62,0.00065536,639.0342051615,0.0432007777,[0.0011981328],[0.000119536],0.0011981328,0.000119536,1.0,0.02490368,[0.0],6.848,0.713,400.0
110,FRB20190618A,228.9198,0.0057,323.1785,12,25.4747,12,35.3,3.6,38.5,3.9,17.04,0.33,0.0,0.0,-9999,0.006,-61.1,0.054,62.0,0.001,-75,12,44,2.66,-9999.0,0.55,5.12e-06,228.9220626385,0.0057595749,"[0.00012183780000000001, 0.0001052082, 3.19875e-05]","[1.8458100000000002e-05, 3.1241000000000003e-06, 5.591500000000001e-06]",3.19875e-05,5.591500000000001e-06,3.0,0.00175616,"[0.0, 0.0005332071, 0.0012349225]",0.108,0.002,400.0
111,FRB20190619A,899.824,0.01,165.1518,22,68.3139,25,3.49,0.38,2.6,0.29,46.09,0.57,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-12,3,42,-9999.0,-9999.0,<0.1,8.192e-05,899.8304788391,0.0107267347,"[0.0001707828, 0.0002168851]","[1.38447e-05, 1.9709600000000002e-05]",0.0001707828,1.38447e-05,2.0,0.0016384,"[0.0, 0.0005392068]",<0.171,0.0,400.0
112,FRB20190619B,270.5489,0.0034,231.5826,24,82.0046,28,6.38,0.68,5.47,0.58,85.8,7.0,127.5,1.1,-9999,0.028,-43.2,0.33,-43.1,0.111,-22,11,44,1.33,-9999.0,0.48,4.096e-05,270.5517243498,0.0036329404,"[0.0001458745, 0.0001408852]","[9.4244e-06, 8.7328e-06]",0.0001408852,8.7328e-06,2.0,0.00126976,"[0.0, 0.0005332345]",<0.141,0.0,400.0
113,FRB20190619C,488.0716,0.0032,39.6424,17,36.2258,18,4.85,0.53,4.41,0.46,17.0,1.1,0.0,0.0,-9999,0.031,-226.9,0.17500000000000002,226.9,0.259,-39,7,47,0.97,1.0,0.97,4.096e-05,488.0716494586,0.0031790295,"[3.48132e-05, 9.860230000000001e-05, 0.0001365781]","[1.46877e-05, 1.10227e-05, 1.02306e-05]",3.48132e-05,1.46877e-05,3.0,0.00221184,"[0.0, 0.0010358755, 0.0014973214000000002]",~0.182,0.0,400.0
114,FRB20190619D,378.77,0.25,114.6547,28,41.7227,28,17.9,1.8,0.92,0.1,12.2,2.6,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00016384,378.5329389437,0.2506120237,[0.0013069531],[0.0001540845],0.0013069531,0.0001540845,1.0,0.013926399999999999,[0.0],7.827,0.408,400.0
115,FRB20190621A,195.937,0.018,188.09,48,74.135,71,3.51,0.43,1.04,0.22,33.0,11.0,37.0,2.4,"Event of the repeating source FRB20180908B. The correct lobe of the formed beam is uncertain, RA could be shifted by up to +-3/cos(Dec) deg. ",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,195.9300925819,0.18496302520000002,[0.0031530177],[0.00024032760000000002],0.0031530177,0.00024032760000000002,1.0,0.011141120000000001,[0.0],<3.153,0.0,57.1
116,FRB20190621B,1061.139,0.019,192.838,68,55.621,71,2.34,0.28,1.43,0.18,31.21,0.33,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16,4,41,-9999.0,-9999.0,<0.22,0.00065536,1061.1668119641,0.0264932836,[0.0009126357],[7.32413e-05],0.0009126357,7.32413e-05,1.0,0.0039321600000000005,[0.0],<0.913,0.0,400.0
117,FRB20190621C,570.3418,0.0066,204.9242,17,5.2158,23,141.0,15.0,301.0,30.0,17.89,0.26,0.0,0.0,-9999,0.012,-0.2,0.059000000000000004,-2.1,0.07200000000000001,1,5,42,7.12,-9999.0,0.61,2.56e-06,570.3417714365,0.0066154245000000006,[3.64839e-05],[9.078e-07],3.64839e-05,9.078e-07,1.0,0.00023808,[0.0],0.035,0.003,400.0
118,FRB20190621D,647.32,0.037,278.0152,21,78.8804,26,28.9,3.0,6.33,0.68,94.35,0.42,84.99,0.88,-9999,0.025,760.0,0.22,-759.2,0.203,-46,13,44,3.71,-9999.0,0.48,0.00016384,647.317713265,0.0375565371,[0.0002436223],[2.0840800000000002e-05],0.0002436223,2.0840800000000002e-05,1.0,0.00753664,[0.0],2.217,0.126,400.0
119,FRB20190622A,1122.8073,0.0086,298.467,57,85.781,62,2.43,0.29,3.62,0.4,245.07,0.89,220.4,8.2,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-20,9,44,-9999.0,-9999.0,<0.28,4.096e-05,1122.8027750106,0.0086606514,[3.1146400000000004e-05],[4.7346e-06],3.1146400000000004e-05,4.7346e-06,1.0,0.00073728,[0.0],0.126,0.014,400.0
120,FRB20190623A,1082.163,0.014,270.5694,31,24.495,36,2.44,0.27,3.87,0.41,20.01,0.17,0.0,0.0,-9999,0.042,162.5,0.188,-161.5,0.073,108,19,45,1.4100000000000001,-9999.0,0.86,0.00016384,1082.1698686498,0.0142484285,[0.0001636758],[8.6277e-06],0.0001636758,8.6277e-06,1.0,0.00114688,[0.0],<0.164,0.0,400.0
121,FRB20190623C,1049.936,0.012,193.502,47,86.045,58,5.31,0.72,3.05,0.44,197.0,13.0,243.3,1.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-17,8,44,-9999.0,-9999.0,<0.25,0.00032768,1049.8817694148,0.0171772218,[0.0004279081],[3.79749e-05],0.0004279081,3.79749e-05,1.0,0.00458752,[0.0],0.826,0.233,400.0
122,FRB20190624A,973.86,0.14,168.0632,34,69.7932,30,9.5,1.0,1.96,0.22,42.7,0.0,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-13,5,42,-9999.0,-9999.0,<0.23,0.00065536,973.7934099619,0.1392670187,[0.0009731749],[6.09421e-05],0.0009731749,6.09421e-05,1.0,0.0131072,[0.0],1.683,0.183,400.0
123,FRB20190624B,213.9474,0.0076,308.6502,23,73.5968,11,1460.0,150.0,2870.0,290.0,62.8,0.0,48.7,0.0,-9999,0.001,-16.5,0.002,4.0,0.0,9,14,45,233.93,-9999.0,0.8,2.56e-06,213.9473854066,0.0076450153,"[1.50248e-05, 8.62819e-05, 5.08671e-05, 5.40173e-05, 8.47065e-05]","[1.929e-06, 8.049300000000001e-06, 5.1389e-06, 1.5513000000000002e-05, 1.78954e-05]",1.50248e-05,1.929e-06,5.0,0.00122112,"[0.0, 0.00018410600000000002, 0.0001122353, 0.00046404970000000004, 0.0009854658]",~0.027,0.0,400.0
124,FRB20190625E,188.606,0.035,65.685,46,73.67,48,140.0,15.0,14.4,2.1,63.78,0.73,46.96,0.56,Event of the repeating source FRB20180814A. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,188.5726777622,0.0547601219,"[0.0011323268, 0.0016347795, 0.0011102735000000001]","[8.77708e-05, 0.0001164601, 0.0001471609]",0.0011102735000000001,0.0001471609,3.0,0.03538944,"[0.0, 0.0065111316, 0.0275259773]",<1.11,0.0,69.8
125,FRB20190626A,191.16,0.53,65.701,37,73.669,37,-9999.0,-9999.0,-9999.0,-9999.0,64.02,0.43,47.09,0.34,"Event of the repeating source FRB20180814A. The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. ",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,192.1617595724,0.5859773095,[0.0082831277],[0.0003913071],0.0082831277,0.0003913071,1.0,0.02555904,[0.0],<8.283,0.0,63.5
126,FRB20190627A,404.257,0.099,196.028,67,0.98,149,26.1,3.3,31.9,3.7,15.7,0.0,0.0,0.0,-9999,0.082,-48.3,0.61,49.4,0.707,-10,6,42,0.6900000000000001,-9999.0,1.02,0.00016384,404.2567000381,0.0990496483,[0.0001702193],[2.32875e-05],0.0001702193,2.32875e-05,1.0,0.00147456,[0.0],~0.276,0.0,>80.5
127,FRB20190627C,968.497,0.014,267.7766,25,71.6293,16,13.2,1.4,6.25,0.64,55.21,0.54,35.32,0.59,-9999,0.018000000000000002,69.1,0.061,68.5,0.065,12,20,44,1.4,1.09,0.93,2.048e-05,968.5047146462,0.0137191848,"[0.00019555980000000002, 0.0005998609]","[1.25854e-05, None]",0.00019555980000000002,1.25854e-05,2.0,0.0032358400000000002,"[0.0, 0.0025734767]",1.195,0.033,400.0
128,FRB20190627D,2000.308,0.032,295.431,104,43.856,91,8.57,0.96,0.61,0.16,24.37,0.49,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-59,40,45,-9999.0,-9999.0,<0.59,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0
129,FRB20190628A,745.7895,0.0079,199.164,38,51.696,41,2.19,0.27,2.16,0.25,27.28,0.65,0.0,0.0,-9999,0.063,23.6,0.274,23.7,0.335,7,1,41,1.23,0.9,0.93,0.00016384,745.7919470043,0.0092807637,[0.00029057240000000004],[2.28146e-05],0.00029057240000000004,2.28146e-05,1.0,0.00147456,[0.0],<0.291,0.0,400.0
130,FRB20190628B,407.987,0.022,249.194,41,80.093,48,7.18,0.86,3.97,0.47,7.9,6.3,80.0,3.4,-9999,0.053,19.2,0.252,19.7,0.289,-23,13,44,3.91,-9999.0,0.8,0.00032768,408.0286747756,0.024045527900000002,[0.0007595756000000001],[4.63721e-05],0.0007595756000000001,4.63721e-05,1.0,0.00425984,[0.0],<0.76,0.0,400.0
131,FRB20190628C,1746.79,0.27,11.453,101,48.591,99,-9999.0,-9999.0,-9999.0,-9999.0,7.7,6.5,0.0,0.0,"A significant fraction of the signal is outside the time range of the dump. The correct lobe of the formed beam is uncertain, RA could be shifted by up to +-3/cos(Dec) deg. ",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,5,13,46,-9999.0,-9999.0,<0.6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0
132,FRB20190629A,503.541,0.031,4.877,45,12.501,52,23.7,2.5,6.82,0.8,9.3,1.9,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,503.6046095603,0.032896850400000004,[0.0003559845],[5.98167e-05],0.0003559845,5.98167e-05,1.0,0.00589824,[0.0],1.405,0.275,400.0
133,FRB20190630B,651.71,0.32,328.3149,13,42.9525,13,62.6,6.3,3.62,0.37,22.34,0.39,0.0,0.0,-9999,0.01,6.7,0.042,7.0,0.055,-205,102,46,3.9,-9999.0,0.98,4.096e-05,652.0266153835,0.31867968080000003,[0.0014920722],[3.91271e-05],0.0014920722,3.91271e-05,1.0,0.022241280000000002,[0.0],12.974,0.191,400.0
134,FRB20190630C,1660.207,0.012,67.3687,22,80.9195,29,14.7,1.5,8.61,0.88,10.0,4.0,80.5,3.2,-9999,0.02,641.0,0.34700000000000003,641.7,0.233,-8,8,45,2.04,-9999.0,0.47000000000000003,8.192e-05,1660.2184554367,0.012177794700000001,[9.95873e-05],[9.1249e-06],9.95873e-05,9.1249e-06,1.0,0.00385024,[0.0],0.31,0.021,>139.6
135,FRB20190630D,323.5402,0.0025,143.4744,19,8.814,25,7.97,0.86,5.72,0.61,16.38,0.27,0.0,0.0,-9999,0.027,5.1,0.225,4.8,0.219,12,8,48,12.94,-9999.0,0.59,4.096e-05,323.5401629102,0.0025394811,"[9.59411e-05, 0.0004127727, 4.4476000000000006e-05]","[9.003400000000001e-06, 1.62445e-05, 3.6967e-06]",4.4476000000000006e-05,3.6967e-06,3.0,0.00188416,"[0.0, 0.0007916751000000001, 0.0012206749]",~0.017,0.0,374.6
136,FRB20190701A,637.0911,0.0085,277.242,43,59.029,56,1.89,0.23,2.3,0.26,35.39,0.34,0.0,0.0,-9999,0.051000000000000004,-154.5,0.219,154.3,0.197,16,11,44,2.2800000000000002,1.1,0.92,4.096e-05,637.0881149722,0.0086522176,[0.0001240804],[7.48e-06],0.0001240804,7.48e-06,1.0,0.00073728,[0.0],<0.124,0.0,400.0
137,FRB20190701B,749.0932,0.0078,302.1952,20,80.0913,24,8.52,0.96,7.15,0.76,86.5,4.4,97.14,0.95,-9999,0.034,-534.3,0.23800000000000002,-533.5,0.47800000000000004,4,10,45,1.6600000000000001,-9999.0,0.67,2.048e-05,749.0963972449,0.0077846959,"[2.76915e-05, 0.00030829880000000004]","[2.0232e-06, 2.5284800000000002e-05]",2.76915e-05,2.0232e-06,2.0,0.0014131200000000001,"[0.0, 0.0003870109]",0.12,0.006,400.0
138,FRB20190701C,973.794,0.014,83.798,34,81.594,42,20.9,2.6,14.6,1.7,124.78,0.67,58.0,10.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-21,10,45,-9999.0,-9999.0,<0.43,0.00032768,973.8096451732,0.0146874932,[0.0002363485],[1.79562e-05],0.0002363485,1.79562e-05,1.0,0.0039321600000000005,[0.0],0.41,0.056,400.0
139,FRB20190701D,933.319,0.027,111.7658,16,66.7667,17,19.8,2.0,3.08,0.32,39.3,1.0,0.0,0.0,-9999,0.022,-138.7,0.084,137.0,0.045,-20,10,46,1.51,-9999.0,0.75,0.00016384,933.3916777706,0.027945806,[0.0004272476],[2.6721600000000002e-05],0.0004272476,2.6721600000000002e-05,1.0,0.01376256,[0.0],2.145,0.081,400.0
